Sr_no,Oracle soluions coupled wih nex-gen ech fech s z resuls.,Senimen(polariy=0.0 sueciviy=0.0),2017-09-30,20,,,,,
125,Wha is your favourie Monday morning drink?\nA Reis Informaion Sysems we can ge away wihou a cup of coffee.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/DO5D5Jn7W,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,1,,,,,
126,o long unil ACLiveShow we can wai o see you all here! #Scoland #Accouning #Ousourcing,Senimen(polariy=0.03125 sueciviy=0.4),2017-10-02,0,,,,,
127,ur upcoming wenar wih Gar ssenyei of Glolese NM neural machine ranslaion will explore jus ha:\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/FVsEloMJj1,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,0,,,,,
128,knpees SarHealhIns irdaindia FordIndia aaCompanies reliancejio Marui_Corp HyundaiIndia\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/IEpYimyV,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,0,,,,,
129, LOVE INFOSYS,Senimen(polariy=0.5 sueciviy=0.6),2017-10-02,0,,,,,
130,heck his ou... Jooppouniy in your counry of origin hps://.co/x8UhDkZV6P,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,0,,,,,
131,ook learn improve &amp; aiculae wih our #ZeroDisance mehod cards. Check ou his emplae for #innovaion hps://.co/gVVpq3J8cV,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,4,,,,,
132, iAnkurSingh: 1s woman chief jusice of Delhi HC\nCanceled aa housing projec\n\nRejeced Cenres n on Indias Daugher\n\n shes no\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,20,,,,,
133,ray for aa ain\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 nohing wrong wih her jus pray for he child,Senimen(polariy=-0.5 sueciviy=0.9),2017-10-02,0,,,,,
134, love Yo rane voice ?,Senimen(polariy=0.5 sueciviy=0.6),2017-10-02,0,,,,,
135, heMarquea2: #raceyLAnd  #herAzeyShoW ~ i$  #rAceyZworld ~ i$ weR he go wen he w hi$ main hoE // #xDx 4 all ing$ #raceyduke\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.16666666666666666 sueciviy=0.3333333333333333),2017-10-02,7,,,,,
136, oodDonorsIn: #Mumi A+ve or ve an urgen requiremen for ood  aa MemorialParel.. Ph 7275199802,Senimen(polariy=0.0 sueciviy=0.0),2017-10-02,37,,,,,
137,Who doesn enjoy some guil-free shopping herapy?! his Oc 4h sregismumi in iniiaion wih aa Hospial \xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/renJiGJ5D,Senimen(polariy=0.5 sueciviy=0.5),2017-10-02,0,,,,,
138, menallycamila: heyve come far ?? hps://.co/6ldzFnAqH,Senimen(polariy=0.1 sueciviy=1.0),2017-10-02,19,,,,,
139, oysrusuk: For a chance o win #Desiny2 for #PS4 or #Xx follow oysRUsUK and . Ends ONIGH. ? &amp;Cs hps://.co/5jkzyNApk #WinI\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-10-04,489,,,,,
140,Ive go #MichiganSae o ake he W in his weeks Wendys #Rivalryef. Whos go your voe? hps://.co/FakgyDxW5,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,0,,,,,
141, Ainavaia4: How o engage wih oming saup ecosysem in India? Indian delegaes a #NACOSummi speaking on a panel hps://.co\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,2,,,,,
142, PxrickWS:  &amp; FL for a chance o win a Saff of he Queren + 20 Empower Cs! Giveaway ends Ocor 30 2017 a 11:59:00 ES. ? hps\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-10-04,21,,,,,
143,hink of #ePurchasing as siness value hrough easy ying! Join our wenar wih duncanwjones from forreser.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/CJnAUqLnYI,Senimen(polariy=0.5416666666666667 sueciviy=0.8333333333333334),2017-10-04,0,,,,,
144, CollegeCan: Wonderful o hear from sudens of AlgonquinColleg &amp; CollegeLaCie a #FLF2017 o share heir experience wih learning &amp;\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=1.0),2017-10-04,8,,,,,
145,reen #elecom players appeal o he increasing numr of consumers who care au he impac of #climaechange\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/YeIS6gmEWa,Senimen(polariy=-0.2 sueciviy=0.3),2017-10-04,0,,,,,
146, CanadaSpain1: Canadian paicipans a #IoSWC17 in # rcelona! Grea eam. See you omorrow! IC_Wes NexusFP EmanEspana  canad\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.75),2017-10-04,8,,,,,
147, ainsewery: WIN 2 ickes o FAWales v FAIreland follow ainsewery and  his pos o ener. Winner picked Friday. &amp;Cs hps\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-10-04,186,,,,,
148,arnessing he Power Of Disrupive echnology he Nex Sep For Insurance. [hps://.co/25y8IwoR0] hps://.co/wgnlIJKc4f,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,0,,,,,
149, JasonDellaRosa: uesdays volleyll winners: Sherman Melissa Guner Whiesro Callisrg Van Alsyne ue Ridge Dodd Ciy re\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.1),2017-10-04,5,,,,,
150, SushilModi: I visied INFOSYS campus oday... hps://.co/p8Nur0Jn,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,28,,,,,
151,nelecual propey is your siness. hps://.co/mlY4ro1 hps://.co/MSnaej7Nx,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,0,,,,,
152,nelecual propey is your siness. hps://.co/1C9kc95oD,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,0,,,,,
153, java: A Simple Inroducion o #Daa Srucures \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Linked Liss\n #AI #MachineLearning \n\nhps://.co/iAupskGdqU hps://.co/1rWquXJ,Senimen(polariy=0.0 sueciviy=0.35714285714285715),2017-10-04,95,,,,,
154, udaciy: Saing ou in #Android developmen? Ready for more advanced principles? Explore Android raining in #DiscoveryWeek hps://\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.275 sueciviy=0.42500000000000004),2017-10-04,13,,,,,
155, java: Using Conen Managemen Sysems in #Java Applicaions\n\nhps://.co/d5cWlQHJsx hps://.co/lhWzgirzB,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,60,,,,,
156, MSFImagine: #Compuing jo are he #1 source of all new wages says codeorg: hps://.co/ZxwZ2kjVY hps://.co/PMu4mKZcHv,Senimen(polariy=0.13636363636363635 sueciviy=0.45454545454545453),2017-10-04,22,,,,,
157, java: Free Princeon Course - \nEssenials for serious programmers au algorihms and #daa srucures and #Java\n\nhps://.co/zFzSi7\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.033333333333333354 sueciviy=0.7333333333333334),2017-10-04,159,,,,,
158, java: ild sophisicaed algorihms ha are fundamenal o #deeplearning and #AI wih #Java\n\nhps://.co/Pe5CKX1kLM? hps://.co/0Z\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.5 sueciviy=1.0),2017-10-04,111,,,,,
159, java: FREE - 5 Courses in \n#Java Programming and Sofware Engineering Fundamenals Specializaion - Duke Universiy \n\nhps://.co/fVoF\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.4 sueciviy=0.8),2017-10-04,76,,,,,
160, CNNnews18: he faciliy will provide end-o-end echnology consuling and sysems inegraion services.\nhps://.co/l58jx5,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,4,,,,,
161,ha records should you  keeping for your siness? Check HMRCsiness video ou! ? #okkeeping #Ousourcing\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/nDVHeRg,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,1,,,,,
162,he faciliy will provide end-o-end echnology consuling and sysems inegraion services.\nhps://.co/cHGZM0y,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,0,,,,,
163,he faciliy will provide end-o-end echnology consuling and sysems inegraion services.\nhps://.co/l58jx5,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,4,,,,,
164, khjjg: i have no sense of shadowing  i finally have my own aa and cooky lloon yall ?? hps://.co/Lx0YPmuY,Senimen(polariy=0.3 sueciviy=1.0),2017-10-04,280,,,,,
165, eejayspencer: his he rawes gender reveal I ever seen. hps://.co/S1NSjYSCHD,Senimen(polariy=0.0 sueciviy=0.0),2017-10-04,27220,,,,,
166,aa_Crucie Hold your seas coz he ulimae le of wis au o ge saed #CCQ17 hps://.co/OAdKU41z,Senimen(polariy=0.0 sueciviy=1.0),2017-10-04,0,,,,,
167, sevenandweny: is en a while since i did pixel a  i love hem ok ???\n#21 #sfana #samy #mang #cooky #rj #shooky #a\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.5 sueciviy=0.55),2017-10-04,579,,,,,
168,aaSky Is en over 20hrs and sill no received any call. No up o aas sandard. Paheic,Senimen(polariy=-0.5 sueciviy=0.5),2017-10-04,0,,,,,
169, dama_uk: o  in wih a chance of winning his gorgeous crew neck sweaer simply follow &amp; ! Ends 13/10 12pm &amp;Cs: hps://.co/wlV\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.39999999999999997 sueciviy=0.669047619047619),2017-10-08,632,,,,,
170,nzurilife You can ceainly read along! We will  conducing a live wier cha during he ok clumeeing so\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/cZHFlRr8,Senimen(polariy=0.2021103896103896 sueciviy=0.5357142857142857),2017-10-08,0,,,,,
171,onday #MorningRush help is here. Never  lae nor early o cach s.\nUniversal wepp hps://.co/MwdV7Pgswi\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/67V5uW9Wp,Senimen(polariy=-0.06666666666666667 sueciviy=0.3),2017-10-08,0,,,,,
172,f you eak a le of  dewars a an Indiana  grocery sore on Sunday can hey charge you for i? #askingforafriend,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
173, oysrusuk: WIN 1 of 10 family ickes o #ICKLIVE #rmingham on 26h-29h Oc! Follow oysrusuk and  o ener. &amp;Cs hps://.co/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-10-08,153,,,,,
174, rsoolUMiami: Mood hps://.co/o5kA8pguuE,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,31,,,,,
175,e really need er inland wind guidance for Cs...hard o ge susained S winds hundreds of miles inland wih a Ca 1...,Senimen(polariy=0.35 sueciviy=0.35),2017-10-08,0,,,,,
176,Cs_wie nesR4Dogs grigol80 DineshDSouza One of he oher misakes you made cuz youre NO well read is\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/r6vuMAgUpU,Senimen(polariy=-0.125 sueciviy=0.375),2017-10-08,0,,,,,
177, omomy: Jus don sore my dead dy in he same freezer as your oher dead Cs.,Senimen(polariy=-0.13125 sueciviy=0.325),2017-10-08,112,,,,,
178,ps://.co/M9vmW9dvCv\nI is a 2 round inerview process.\n\nRound 1:... hps://.co/4a32HQJ,Senimen(polariy=-0.2 sueciviy=0.4),2017-10-08,0,,,,,
179, Freshney_Place_: #Grims! Were giving away a \xc3\x82\xc2\xa350 Freshney Place gif card. ?? Simply  &amp; follow us for he chance o win. &amp;Cs: hp\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.4 sueciviy=0.37857142857142856),2017-10-08,56,,,,,
180, Freshney_Place_: Were giving away a \xc3\x82\xc2\xa350 Freshney Place gif card. ?? Simply  &amp; follow us for he chance o win. &amp;Cs: hps://.co/G\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.4 sueciviy=0.37857142857142856),2017-10-08,56,,,,,
181,dama_uk o  in wih a chance of winning his gorgeous crew neck sweaer simply follow &amp; ! Ends 13/10 12pm &amp;\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/jz7z8LsvjV,Senimen(polariy=0.39999999999999997 sueciviy=0.669047619047619),2017-10-08,0,,,,,
182, SylvanianUK: *pirouees* Is #WorldlleDay! Weve go 3 lle heares o #win - jus  and FOLLOW o ener! #prize &amp;Cs - hps:\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-10-08,935,,,,,
183, cineworld:  for a chance o win 1 of 3 #GoodeChrisopherRon posers SIGNED  MargoRoie &amp; ohers! Ener  151017 Cs:hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-10-08,590,,,,,
184,ecklace availae for sale only Rs.750\nFree home delivery via cs Cash on delivery \nShop online a:www.Fashion\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/1el0MigfDj,Senimen(polariy=0.26666666666666666 sueciviy=0.7333333333333334),2017-10-08,0,,,,,
185, enered for a chance o win 100K miles from Alaska Airlines Go Anywhere Sweeps. NPN CA Only 18+ Ends12/31/17 Cs: hps://.co/d70eU1mqH0,Senimen(polariy=0.4 sueciviy=0.7),2017-10-08,0,,,,,
186, Mansagram_: When you see your designaed driver aking shos. hps://.co/hYGqvjixSw,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,50,,,,,
187, WWE: Don forge o donae o memrs of he ConnorsCure and heVFoundaion Marahon eam! Check ou Mahew Kaplan: hps://.co/ir\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,94,,,,,
188, WWE: DYK here is only one week lef o suppo he ConnorsCure Marahon eam? Check ou why Nicole is running: hps://.co/JkK3AHQy5,Senimen(polariy=0.0 sueciviy=0.5),2017-10-08,72,,,,,
189, Gorono: Germaine Greer condemns Murray Edwards decision o admi ransgender sudens - he Camidge\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/jYhnOy5K #ra\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,1,,,,,
190,old_punky Now haha going o he mach is enough punishmen for hem never mind charging he poor fucker,Senimen(polariy=-0.06666666666666667 sueciviy=0.4666666666666666),2017-10-08,0,,,,,
191, added a video o a Youu playlis hps://.co/C8EfAA Minecraf okenlens How o Glich Ou Of he Map,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
192,inecraf okenlens How o Glich Ou Of he Map: hps://.co/C8EfAA via Youu,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
193,s4sor_ I used o purchase for a from pak and dispach from here. You may check hps://.co/VvXMnZa3NV houg\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/Ak8czf,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
194,hermicraf_ PyhonGI love his erraria series\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s he\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s a really good commenaor:D,Senimen(polariy=0.6 sueciviy=0.6000000000000001),2017-10-08,0,,,,,
195,Marc_IRL Finally,Senimen(polariy=0.0 sueciviy=1.0),2017-10-08,0,,,,,
196,goodfundadvisor heEquiyDesk SanaSecuriies SocksResearch RakJhun koaksecuriies e_sensex Aoluely\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/yUixJpCDck,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
197,rajeev_mp \nSir wha so of Governance Mr Narayana Muhy and Mr Nandan Nilekani sand 4? \nShocking o see fundin\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/gjmJFEAE,Senimen(polariy=-1.0 sueciviy=1.0),2017-10-08,0,,,,,
198, Pkunk_: iAnkurSingh Rohan Muhy Nandan Nilekani Narayan Muhy. he lis of ppl funding US owned &amp; operaed mouhpiece Wire is main\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,1,,,,,
199,okia was founded in 1865 and is primary siness was manufacuring paper. #echFac hps://.co/kpap9HKWSa,Senimen(polariy=0.4 sueciviy=0.5),2017-10-08,0,,,,,
200,iAnkurSingh Rohan Muhy Nandan Nilekani Narayan Muhy. he lis of ppl funding US owned &amp; operaed mouhpiece\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/VSi2mF6Vs7,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,1,,,,,
201, acharya27: rishigree hewire_in here is a gger sory here... he rusees of IPSMF are Ashsih Dhawan who was heavily invesed in\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.1 sueciviy=0.5),2017-10-08,1,,,,,
202, acharya27: rishigree hewire_in Ram_Guha ashish dhawan of asoka Universiy could have received his amoun as quid pro quo for his\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,1,,,,,
203,ompanies ha adop he #AR &amp; #VR experience early on will  posiioned for marke dominance in he years o come\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/G6PvpX3IK9,Senimen(polariy=0.1 sueciviy=0.3),2017-10-08,5,,,,,
204,goodfundadvisor NileshShah68 heEquiyDesk SanaSecuriies SocksResearch RakJhun koaksecuriies\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/O9fH07kVs,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
205,ll ickes a our disposal are up for sale: LOC U-17 WC - hps://.co/AA7jFU6QUW under-fire Local Organising Com\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/sQZ6lvwV,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
206,rishigree hewire_in Ram_Guha ashish dhawan of asoka Universiy could have received his amoun as quid pro qu\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/DPUNA0IK2S,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,1,,,,,
207,rishigree hewire_in here is a gger sory here... he rusees of IPSMF are Ashsih Dhawan who was heavily in\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/0I8e49OV,Senimen(polariy=-0.1 sueciviy=0.5),2017-10-08,1,,,,,
208, unlockscreen: ? Lirado ? \nEspecial Holland Roden\n\xc3\xa2\xe2\x82\xac\xc2\xa2 if you saved \n\xc3\xa2\xe2\x82\xac\xc2\xa2fav if you liked \n\xc3\xa2\xe2\x82\xac\xc2\xa2prin if you used \n-aa hps://.co/2vZM8n6\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.6 sueciviy=0.8),2017-10-08,15,,,,,
209,Hopefocus Jus an answer...again and again...always he same answer.....\nWhy?\nIs so horrie....\n?,Senimen(polariy=-0.5 sueciviy=0.5625),2017-10-08,0,,,,,
210, d4needy: #Mumi Ave #ood #urgen #need a aa Hospial Pls Call 9834020686 via vipulmmali cc nisula upma23 jemin_p #wee_\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,24,,,,,
211, Yourho: When your day fel exra long so you order Cherry Coke insead of a regular one. ?\n#aa #aehyung hps://.co/V4olHcix,Senimen(polariy=-0.016666666666666666 sueciviy=0.1923076923076923),2017-10-08,9616,,,,,
212, NANDANPRAIM: A aa sumo vehicle fall in a gorge near Indo china rder Arunachal Pradesh. 3 ouriss from Wes ngal died in an acc\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.1 sueciviy=0.4),2017-10-08,6,,,,,
213, rakimkn: Also i seems he paner worked in Hero ill June 2016. aa_Crucie happens in Sep &amp; Oc. Consider his a formal complai\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,2,,,,,
214,ravel ddy pleeeeeeeeaaaaasssssseeeeee,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
215, 309daze: aa &amp; shooky doodle reques for my soul mae ? hank you! hps://.co/HkVSCy8C3,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,80,,,,,
216, unlockscreen: -&g; lockscreen jusin er \n?fav if you liked\n? if you saved\n?prin if you used\n-aa hps://.co/2O3sS86,Senimen(polariy=0.6 sueciviy=0.8),2017-10-08,5,,,,,
217, unlockscreen: ?lockscreen dua lipa \n\xc3\x82\xc2\x fav if you liked\n\xc3\x82\xc2\x  if you saved\n\xc3\x82\xc2\x prin if you used\n-aa hps://.co/36kGXI59CE,Senimen(polariy=0.6 sueciviy=0.8),2017-10-08,9,,,,,
218, oodAid: #Mumi Need Ave #ood  aa Hosp. Call 9834020686 #oodAid via Prakash_Sawan vipulmmali cc InfoMumi WeAreMumi\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,22,,,,,
219, PeopleNChoices: hen narendramodi Gov. gave sof loan of ?559 Cr for aa Nano plan. OfficeOfRG says he loan was ?24000 Cr. Is #R\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.1 sueciviy=0.35),2017-10-08,77,,,,,
220, Na_Sawek: Good morning LA #PeckOaKnockOuConce #??????????? #???????????? hps://.co/GcqXHy,Senimen(polariy=0.7 sueciviy=0.6000000000000001),2017-10-08,4788,,,,,
221, Oheyjuliaa: Rip o he Jacka Javi Sevieow aa.. My hea aches for yall,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,3,,,,,
222, Na_Sawek: Hollywood.. #??????????? #????????????  #PeckOaKnockOuConce #MVEMA #NominaePalichockeAyanapura hps://.co/oxfpUm\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,8109,,,,,
223," CNV18News: ""aa ele in really d shape... close o impossie o recover"" #ChandraoCNV18 .aaCompanies Shereenan hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6",Senimen(polariy=-0.6833333333333332 sueciviy=0.8333333333333333),2017-10-08,14,,,,,
224, never experred i ??? aa_ainmen  Flaie21 hps://.co/Yf8l5wfsvy,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
225,xcl: How Chandrasekaran is rying o make he op-heavy aa Group leaner\nhps://.co/UrXH2Ug2K,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
226,his is my g aa sempre in sella alla sua moo guzzi everyday and noche and day hps://.co/GIGferM,Senimen(polariy=-0.1 sueciviy=0.35),2017-10-08,0,,,,,
227, pr_akash_raj: heeraj \naa Nano is he fav car of Auowaalas. he name iself has Na and No,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,6,,,,,
228, Jerusalem_Pos: Indian llionaire Raan aa o aend Israeli auo-ech conference hps://.co/nRxzJyRAFq hps://.co/izNiN8uorj,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,11,,,,,
229,ndian llionaire Raan aa o aend Israeli auo-ech conference hps://.co/cK98ykQZ0b,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
230," aekookmomens: ghi: ""your acions reflec he image of S""\n\narmys: /sends flowers o radio saions o hank hem for playing s\xc3\xa2\xe2\x82\xac\xc2\xa6",Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,401,,,,,
231, snole: some vkook onigh-- i is he cooky wih his aa lloon--- sed off he hea lloon wee i saw earlier--- hps://.co/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.5),2017-10-08,308,,,,,
232,yujuokki  my noifs sill showing ha yujuokki errr\xc3\xa2\xe2\x82\xac\xe2\x80\x9d aa is a line sicker made my aehyung sunenim.,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
233,Pankajindal31 sigmaioapi sanish9d And heres dhirendra_vr wee screensho again #CCQ17 aa_Crucie hps://.co/uRJZywAw4s,Senimen(polariy=0.0 sueciviy=0.0),2017-10-08,0,,,,,
234, oysrusuk: he NINJAGO helegomoviesuk is almos here! ?  for a chance o WIN he full range of #LEGO from #oysRUsUK! &amp;Cs: hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.61875 sueciviy=0.47500000000000003),2017-10-11,861,,,,,
235, llaski5: his is your Cs C hps://.co/E8Soc,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,1,,,,,
236, Jacina_rrins: swana is one of he s counries in he world for managing naural resources says UNEP Execuive Direcor hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.55 sueciviy=0.35),2017-10-11,5,,,,,
237, oysrusuk: WIN a AND NEW #HachimalsSurprise! ??? o ener  &amp; reply wih your #RUHachimalsSelfie. &amp;Cs: hps://.co/rpHGepcOih\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.48522727272727273 sueciviy=0.42727272727272725),2017-10-11,308,,,,,
238,Given ha #cloud implemenaions are much faser han on-prem cos need effecive #ChangeManagemen. Heres why:\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/j8x0ukZqIv,Senimen(polariy=0.4 sueciviy=0.5),2017-10-11,0,,,,,
239, helandofsnakes: Cs School Spiri A Is Fines hps://.co/LvjPDcKU5f,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,57,,,,,
240,ow do you drive value wih #Accounspayae ransformaion? Sa wih enhancemens and follow 4 s pracices\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/WO2InkYicb,Senimen(polariy=1.0 sueciviy=0.3),2017-10-11,1,,,,,
241, LewisHamilon: Giving away 3x dope se wireless QC35 headphones. Follow  &amp; like o ener?? Goodluck! hps://.co/GywUEuYYs #LH44\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,22316,,,,,
242,isi he #EduCanada Pavilion 401 caie_caei in Monreal for #CAIE2017 Oc. 11-13 hps://.co/KGaJyA31NS hps://.co/OcdUyDlR,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,1,,,,,
243, CanHCMozamque: Aduls should lisen o he #girls suppo and influence oher aduls who have he power and he duy o proec hem\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.125 sueciviy=0.375),2017-10-11,6,,,,,
244," UNICEF_Moz: ""No er way o spend he #DayofheGirl han a he #Mozamque Naional Girls Conference"" - ChevrierAnoine #RaparigaMo\xc3\xa2\xe2\x82\xac\xc2\xa6",Senimen(polariy=-0.25 sueciviy=0.5),2017-10-11,8,,,,,
245,Inui Nunanga refers o four ?? Inui regions\nIn 2015 #Inui a economy conried $87.2M o Canadas GDP\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/3nxv8eNvAv,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
246, dama_uk: o win  his  gorgeous crew neck sweaer +F! Ends   13/10 12pm &amp;Cs: hps://.co/1omNlnPQS0 #win hps://.co/JjJhsQQqLu,Senimen(polariy=0.8250000000000001 sueciviy=0.5666666666666668),2017-10-11,0,,,,,
247, camheman5187: Up 70  half! hps://.co/KyR45u2559 caleallas43 KyleRiesselmann Zach_Seymour5 _KING8CHO jusindrd ChadSimmo\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.20833333333333331 sueciviy=0.16666666666666666),2017-10-11,3,,,,,
